,S. no.,Carry Forwarded From 2023,Zone,Region,City,Exchange as per PC-1,Feeding Node,Area,Ufone,Ufone - LAT,Ufone - LONG,Design Status,Status(Fiberized/ Non Fiberize),FAT/NAP not covered as Home Pass,NAP covered as Home Pass (With Drop pipe),NAP covered as Home Pass (Witout  Drop pipe),FAT covered as Home Pass (Aerial Deployment),Remarks,Unnamed: 18,Unnamed: 19,Unnamed: 20,Unnamed: 21,Unnamed: 22,Unnamed: 23,Unnamed: 24,Unnamed: 25
583,584,Nill,North,ITR,Islamabad,F-8,F-8,PIMS OPD G-8/3,8327,33.70349784,73.05140189,Yes,Non Fiberized,-,-,-,-,TO be convered in next phase of deployment,,,,,,,,
584,585,Nill,North,ITR,Islamabad,F-8,F-8,PIMS OPD G-8/3,8326,33.70364689,73.05167496,Yes,Non Fiberized,-,-,-,-,TO be convered in next phase of deployment,,,,,,,,
585,586,Nill,North,ITR,Islamabad,F-8,F-8,PIMS OPD G-8/3,8330,33.70415258,73.05430431,Yes,Non Fiberized,-,-,-,-,TO be convered in next phase of deployment,,,,,,,,
586,587,Nill,North,ITR,Islamabad,F-8,F-8,PIMS OPD G-8/3,8331,33.70472803,73.05550487,Yes,Non Fiberized,-,-,-,-,TO be convered in next phase of deployment,,,,,,,,
587,588,Nill,North,ITR,Islamabad,F-8,F-8,Markaz G-8,2053-3G-N-1024-4G-N-111024,33.69736409,73.05047089,Yes,Non Fiberized,-,-,-,-,TO be convered in next phase of deployment,,,,,,,,
588,589,Nill,North,ITR,Islamabad,i-14,i-14,I-14,5795-3G-N-2610-4G-N-112610,33.6066,72.9744,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 104 FAT 40 I-14 ,,Feasibility From Nearest FAT,,,,,,
589,590,Nill,South,STR,Larkana,Larkana Exchamge,Larkana Exchamge,Munawarabad/Shaikh Zaid Colony,7041-3G-S-1525-4G-S-141525,27.56958895,68.20210792,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT 37,FDH1006 FAT-37,,,,,,,,
590,591,Nill,Central,CTR,Sheikhupura,QSP,QSP,Ghang Road,7601-3G-CI-4738-4G-CI-124738,31.7042,73.9671,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
591,592,Nill,North,ITR,Islamabad,F11,F11,G-11/1,8023-3G-N-1053-4G-N-111053,33.67197,72.99116,Yes,Non Fiberized,-,-,-,-,To be Executed,,,,,,,,
592,593,Nill,North,ITR,Islamabad,F11,F11,G-11/2,8011-3G-N-1049-4G-N-111049,33.65961,72.99435,Yes,Non Fiberized,-,-,-,-,To be Executed,,,,,,,,
593,594,Nill,Central,MTR,Bahawalpur,Sattilite Town Exchange,Sattilite Town Exchange,Qasim Town,4606-3G-CII-3438-4G-CII-133438,29.40054,71.68859,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
594,595,Nill,Central,MTR,Bahawalpur,Sattilite Town Exchange,Sattilite Town Exchange,Khakwani Colony,5315-3G-CII-3445-4G-CII-133445,29.39809,71.69853,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
595,596,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,N. Nazimabad Block-2,6055-3G-S-4679-4G-S-144679,24.90756,67.03275,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-5005  C194  F65-76,,,,,,
596,597,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,N. Nazimabad Block-1,6430-3G-S-4738-4G-S-144738,24.90834188,67.02628077,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-4002  C347  F13-26,,,,,,
597,598,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,N. Nazimabad Block-1,9437-3G-S-2560-4G-S-142560,24.90529293,67.03017674,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-4007  C319  F83-94,,,,,,
598,599,Nill,South,KTR-3,Karachi,Nazimabad,Nazimabad,N. Nazimabad Block-1,9290-3G-S-2498-4G-S-142498,24.90279237,67.02492886,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-4006  C375  F67-82,,,,,,
599,600,Nill,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Defence View/ FAT,6495-3G-S-2341-4G-S-142341,24.8346561574745,67.0788313758702,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 2002,,FDH-2002  C270  F13-24,,,,,,
600,601,Nill,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Defence View/ FAT,9410-3G-S-2547-4G-S-142547,24.842062237897,67.0820520115307,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-2004  C522  F49-72,,,,,,
601,602,Nill,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Defence View/ FAT,9205-3G-S-2110-4G-S-142110,24.8392000000002,67.0806400000001,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-2003  C520  F25-48,,,,,,
602,603,Nill,South,KTR-1,Karachi,Defence Karachi,Defence Karachi,Ph 02/ NAP,S-3835-3G-S-4931-4G-S-144931,24.8339587439939,67.05289199006,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
603,604,Nill,North,RTR,Attock,Attock,Attock,Attock,2666-3G-N-1870-4G-N-111870,33.75975685,72.35232123,Yes,Fiberized,Covered,-,-,Yes,FDH-304/FAT09,,,,,,,,
604,605,Nill,North,RTR,Attock,Attock,Attock,Attock,2921-3G-N-1874-4G-N-111874,33.76152222,72.36027836,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
605,606,Nill,North,RTR,Attock,Attock,Attock,Attock,2667-3G-N-4114-4G-N-114114,33.75700268,72.36065592,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
606,607,Nill,North,RTR,Attock,Attock,Attock,Attock,6632-3G-N-1877-4G-N-111877,33.76834,72.36003,Yes,Fiberized,Covered,-,-,Yes,FDH-403/FAT-27,,,,,,,,
607,608,Nill,North,NTR-2,Bannu,Bannu Township Exchange,Bannu Township Exchange,PASSPORT OFFICE C BLOCK,Under Same Polygon of 'PASSPORT OFFICE C BLOCK',33.014006,70.70473,Yes,Non Fiberized,Not Covered,-,-,-,Nill,,,,,,,,
608,609,Nill,North,NTR-2,Bannu,Bannu Township Exchange,Bannu Township Exchange,PASSPORT OFFICE C BLOCK,2487-3G-N-1546-4G-N-111546,33.01433,70.70239,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
609,610,Nill,Central,FTR,Faisalabad,Sargodha Road Exchange,Sargodha Road Exchange,Mehmoodabad,4000-3G-CII-3014-4G-CII-133014,31.430161,73.1059,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
610,611,Nill,Central,FTR,Faisalabad,Sargodha Road Exchange,Sargodha Road Exchange,Gulistan Colony K Block,5806-3G-CII-3100-4G-CII-133100,31.43713,73.10591,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
611,612,Nill,Central,FTR,Faisalabad,Sargodha Road Exchange,Sargodha Road Exchange,Tariqabad,3G-CII-3005-4G-CII-133005,31.423558,73.101013,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
612,613,Nill,South,HYTR,Hyderabad,Latifabad Echange,Latifabad Echange,Latifabad Unit 5,1163-3G-S-2995-4G-S-142995,25.36369,68.34657,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT 22,FAT-22,,,,,,,,
613,614,Nill,South,HYTR,Hyderabad,Latifabad Echange,Latifabad Echange,Latifabad Unit 5,1138-3G-S-1081-4G-S-141081,25.36382815,68.34271796,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT 11,FDH 505,,0,,,,,,
614,615,Nill,South,HYTR,Hyderabad,Latifabad Echange,Latifabad Echange,Bismillah City,3846-3G-S-4952-4G-S-144952,25.35352,68.34426,Yes,Non Fiberized,Not Covered,-,-,Feasibility From Nearest FAT,Execution In Progress,,0,,,,,,
615,616,Nill,North,RTR,WahCantt,Wah Cantt,Wah Cantt,Near Ameer Hamza Marble G.T Road,2412-3G-N-1813-4G-N-111813,33.77608774,72.71820153,Yes,Fiberized,Covered,-,-,YEs,FDH-801/FAT-28,,,,,,,,
616,617,Nill,North,ITR,Rawalpindi,Westridge,Westridge,Misryal Road,2049-3G-N-1185-4G-N-111185,33.603103,73.005393,Yes,Fiberized,Covered,-,-,-,Execution In Progress,,,,,,,,
617,618,Nill,North,ITR,Rawalpindi,Westridge,Westridge,Lanes,8833-3G-N-1390-4G-N-111390,33.60331,73.01947,Yes,Fiberized,Covered,-,-,Feasibility from FAT 16,"FDH 806, FAT16",,,,,,,,
618,619,Nill,North,ITR,Rawalpindi,Westridge,Westridge,Radio Colony,5153-3G-N-2804-4G-N-112804,33.6027,73.0284,Yes,Fiberized,Covered,-,-,Feasibility from FAT 11,"FDH 703, FAT 11",,FDH 701 FAT 21 Westridge,,,,,,
619,620,Nill,Central,MTR,RahimYarKhan,Rahim Yar Khan,Rahim Yar Khan,Babar Colony,1501-3G-CII-3382-4G-CII-133382,28.41618,70.31896,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,,,,,,,
620,621,Nill,South,QTR,Quetta,Central Exchange 3,Central Exchange 3,Khady Ghulam,1426-3G-S-2250-4G-S-142250,30.19241141,67.025203,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT 50,"FAT-50, FDH-104A",,0,,,,,,
621,622,Nill,Central,SLTR,Jalalpur Jattan,Jalalpur Jattan,Jalalpur Jattan,Qamarabad and Akbarabad,3659-3G-CI-4952-4G-CI-124952,32.644727,74.207634,Yes,Non Fiberized,-,-,-,-,To be Executed,,,,,,,,
622,623,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,"Surizai Town, Pandu Payan, Bala, Zandy, Gharibabad, Musazai",4372-3G-N-3780-4G-N-113780,33.97312987,71.60961305,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
623,624,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,"Surizai Town, Pandu Payan, Bala, Zandy, Gharibabad, Musazai",2180-3G-N-2375-4G-N-112375,33.96361823,71.60609814,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
624,625,Nill,North,NTR-2,Peshawar,Kohat Road,Kohat Road,"Surizai Town, Pandu Payan, Bala, Zandy, Gharibabad, Musazai",6717-3G-N-2553-4G-N-112553,33.97976594,71.64807835,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
625,626,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,Saudabad,6412-3G-S-4732-4G-S-144732,24.8829115,67.18245721,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-4002  317  29-38,,,,,,
626,627,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,Moniabad remainig,9377-3G-S-2530-4G-S-142530,24.89419731,67.18103098,Yes,Fiberized,Covered,-,-,-,FDH 3006,,FDH-3006  505  1-14,,,,,,
627,628,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,Saudabad,9495-3G-S-2580-4G-S-142580,24.88634,67.18546,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-4003  251  15-28,,,,,,
628,629,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,Model Colony 4,6413-3G-S-4733-4G-S-144733,24.90952,67.19262,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-2002  400  63-84,,,,,,
629,630,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,Model Colony 4,6594-3G-S-2358-4G-S-142358,24.90571953,67.18404381,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-2006  528  1-14,,,,,,
630,631,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,Model Colony 3,9318-3G-S-2509-4G-S-142509,24.9064,67.1931,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-1002  435  15-32,,,,,,
631,632,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,AL-Falah,6447-3G-S-3501-4G-S-143501,24.87864,67.17655,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-7007  452  23-34,,,,,,
632,633,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,"Bagh-e-Malir, Shamsi Society, Alfalah Society",9517-3G-S-2166-4G-S-142166,24.8787,67.18032,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-7001  532  125-140,,,,,,
633,634,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,Rafe e amm. AL-Falah,9338-3G-S-2514-4G-S-142514,24.87755,67.17314,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-7006  554  35-48,,,,,,
634,635,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,AL-Falah,9082-3G-S-2400-4G-S-142400,24.88360212,67.17600228,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-7007  452  23-34,,,,,,
635,636,Nill,South,KTR-2,Karachi,Malir Exchange,Malir Exchange,Mustafabad,6271-3G-S-2048-4G-S-142048,24.87277,67.19072,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,FDH-5007  330  19-30,,,,,,
636,637,Nill,North,ITR,Rawalpindi,Westridge Exchange/OLT Ring 01,Westridge Exchange/OLT Ring 01,Service Road,4329-3G-N-1962-4G-N-111962,33.63454,73.04375,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 204-5 FAT 55 KSS Rawalpindi,,Feasibility From Nearest FAT,,,,,,
637,638,Nill,North,ITR,Rawalpindi,Westridge Exchange/OLT Ring 01,Westridge Exchange/OLT Ring 01,Awan Market Rd,8367-3G-N-2531-4G-N-112531,33.637435,73.042765,Yes,Fiberized,Covered,-,-,-,FDH 206 KSS FAT 16,,Work in progress,,,,,,
638,639,Nill,North,ITR,Rawalpindi,Westridge Exchange/OLT Ring 01,Westridge Exchange/OLT Ring 01,KSS Road,8368-3G-N-2532-4G-N-112532,33.638318,73.043858,Yes,Fiberized,Covered,-,-,-,FDH 105  FAT 21 KSS Rawalpindi,,FDH 105  FAT 21 KSS Rawalpindi,,,,,,
639,640,Nill,North,ITR,Rawalpindi,Westridge Exchange/OLT Ring 01,Westridge Exchange/OLT Ring 01,KSS Road,8259-3G-N-1348-4G-N-111348,33.638667,73.044173,Yes,Fiberized,Covered,-,-,-,FDH 105  FAT 22 KSS Rawalpindi,,FDH 105  FAT 22 KSS Rawalpindi,,,,,,
640,641,Nill,North,ITR,Rawalpindi,Westridge Exchange/OLT Ring 01,Westridge Exchange/OLT Ring 01,Service Road,8045-3G-N-1270-4G-N-111270,33.64228,73.049858,Yes,Fiberized,Covered,-,-,-,FDH 104  FAT 15 KSS Rawalpindi,,FDH 104  FAT 15 KSS Rawalpindi,,,,,,
641,642,Nill,North,ITR,Rawalpindi,Westridge Exchange/OLT Ring 01,Westridge Exchange/OLT Ring 01,Khalid Bin Waleed Rd,2035-3G-N-1176-4G-N-111176,33.6329,73.04803,Yes,Fiberized,Covered,-,-,Feasibility From Nearest FAT,FDH 204-5 FAT 20 KSS Rawalpindi,,Feasibility From Nearest FAT,,,,,,
642,643,Nill,North,ITR,Rawalpindi,Westridge Exchange/OLT Ring 01,Westridge Exchange/OLT Ring 01,Shabir Road,5498-3G-N-2330-4G-N-112330,33.637179,73.051307,Yes,Fiberized,Covered,-,-,-,FDH 101  FAT 12 KSS Rawalpindi,,FDH 101  FAT 12 KSS Rawalpindi,,,,,,
643,644,Nill,South,KTR-3,Karachi,Nazimabad Exchange,Nazimabad Exchange,"Block B, N.Nazimabad","Under Same Polygon of ""Block B, N.Nazimabad",24.92578695,67.04333286,Yes,Fiberized,-,-,-,-,FDH-3009 / FAT 26,,,,,,,,
644,645,Nill,South,KTR-3,Karachi,Nazimabad Exchange,Nazimabad Exchange,"Block B, N.Nazimabad",6354-3G-S-4719-4G-S-144719,24.92579,67.04331,Yes,Fiberized,-,-,-,-,FDH-3009 / FAT 26,,,,,,,,
645,646,Nill,South,KTR-3,Karachi,Nazimabad Exchange,Nazimabad Exchange,"Block B, N.Nazimabad",9434-3G-S-2557-4G-S-142557,24.92958463,67.03766818,Yes,Fiberized,-,-,-,-,FDH-3009 / FAT 63,,,,,,,,
646,647,Nill,South,QTR,Quetta,Quetta City Exchange,Quetta City Exchange,Quary Road,1377-3G-S-2226-4G-S-142226,30.18973,67.00823,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
647,648,Nill,South,QTR,Quetta,Quetta City Exchange,Quetta City Exchange,Quary Road,9689,30.19029,67.00713,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
648,649,Nill,South,QTR,Quetta,Quetta City Exchange,Quetta City Exchange,Quary Road,1519-3G-S-2260-4G-S-142260,30.18549,67.01024,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
649,650,Nill,South,QTR,Quetta,Quetta City Exchange,Quetta City Exchange,Quary Road,7019-3G-S-1151-4G-S-141151,30.18721,67.01037,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,0,,,,,,
650,651,Nill,Central,LTR-S,Lahore,Wapda Town Exchange,Wapda Town Exchange,Block A,1711-3G-CI-1110-4G-CI-121110,31.45439588,74.26000503,Yes,Non Fiberized,Not Covered,-,-,-,Execution in Progress,,,,,,,,
651,652,Nill,North,NTR-2,Bannu,BANNU-I CANTT EXH,BANNU-I CANTT EXH,"Bannu Cantt Phase-2,Bannu city",6674-3G-N-2160-4G-N-112160,32.984137,70.590541,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
652,653,Nill,North,NTR-2,Bannu,BANNU-I CANTT EXH,BANNU-I CANTT EXH,"Bannu Cantt Phase-2,Bannu city",5697-3G-N-3375-4G-N-113375,32.987801,70.592659,Yes,Fiberized,Covered,-,-,Feasibililty from nearest FAT 18,FDH 201,,,,,,,,
653,654,Nill,North,NTR-2,Bannu,BANNU-I CANTT EXH,BANNU-I CANTT EXH,"Bannu Cantt Phase-2,Bannu city",5097-3G-N-2538-4G-N-112538,32.973187,70.596552,Yes,Non Fiberized,Not Covered,-,-,-,Execution In Progress,,,,,,,,
654,655,Nill,North,NTR-2,Bannu,BANNU-I CANTT EXH,BANNU-I CANTT EXH,"Bannu Cantt Phase-2,Bannu city","Under Same Polygon of 'Bannu Cantt Phase-2,Bannu city''",32.98018,70.606102,Yes,Fiberized,Covered,-,-,-,Near to the FDH-103 Bannu,,,,,,,,
655,656,Nill,North,NTR-2,Bannu,BANNU-I CANTT EXH,BANNU-I CANTT EXH,"Bannu Cantt Phase-2,Bannu city",6603-3G-N-1898-4G-N-111898,32.980305,70.606202,Yes,Fiberized,Covered,-,-,-,Near to the FDH-103 Bannu ,,,,,,,,
656,657,Nill,North,NTR-2,Bannu,BANNU-I CANTT EXH,BANNU-I CANTT EXH,"Bannu Cantt Phase-2,Bannu city",4959-3G-N-2033-4G-N-112033,32.980569,70.600457,Yes,Fiberized,Covered,-,-,-,Near to the FDH-103 Bannu ,,,,,,,,
657,658,Nill,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Bukhari Park,9583-3G-S-4858-4G-S-144858,24.8063,67.07206,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-9004,,,,,,
658,659,Nill,South,KTR-1,Karachi,Misrishah Karachi,Misrishah Karachi,Misrishah,6484-3G-S-2061-4G-S-142061,24.8123700000002,67.06823,Yes,Non Fiberized,Not Covered,-,-,-,Execution in Progress,,FDH-10007,,,,,,
659,660,Nill,South,KTR-2,Karachi,Misrishah Karachi,Misrishah Karachi,Misrishah,9551-3G-S-4843-4G-S-144843,24.815645730476,67.0745832514003,Yes,Non Fiberized,Not Covered,-,-,-,Execution in Progress,,FDH-11002,,,,,,
660,661,Nill,South,QTR,Turbat,Turbat,Turbat,Akram Dashti,1908-3G-S-1349-,26.00215,63.04164,Yes,Non Fiberized,Not Covered,-,-,"Feasibility from FAT 2 , FDH 102",Execution In Progress,,,,,,,,
661,662,Nill,South,QTR,Quetta,Central Exchange 3,Central Exchange 3,Main Bazar,1430-3G-S-2253-4G-S-142253,30.19512,67.02073,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-1003,,,,,,
662,663,Nill,South,QTR,Quetta,Central Exchange 3,Central Exchange 3,Main Bazar,S-3813-3G-S-4429-,30.199346,67.020281,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-1001,,,,,,
663,664,Nill,Central,LTR-S,Lahore,Wapda Town,Wapda Town,Valencia Block A1 and Block A,CI-1711-3G-CI-1110-4G-CI-121110,31.45452,74.25999,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-1709,,,,,,
664,665,Nill,Central,LTR-S,Lahore,Wapda Town,Wapda Town,Valencia Block A1 and Block A,3145-3G-CI-4242-4G-CI-124242,31.41518,74.2609,Yes,Non Fiberized,Not Covered,-,-,-,To be Executed,,FDH-1502,,,,,,
